what,kind,bundleId,bundleVersion,description,time
error,log,,,"palette: Failed to find style 'autoCompleteTextViewStyle' in current theme",1422956152917
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152921
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152922
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152922
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152923
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152924
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152926
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152927
error,log,,,"palette: Failed to find style 'buttonStyle' in current theme",1422956152927
error,log,,,"palette: Failed to find style 'checkboxStyle' in current theme",1422956152932
error,log,,,"palette: Failed to find style 'checkboxStyle' in current theme",1422956152933
error,log,,,"palette: Failed to find style 'checkboxStyle' in current theme",1422956152933
error,log,,,"palette: Failed to find style 'checkboxStyle' in current theme",1422956152934
error,log,,,"palette: Failed to find style 'checkboxStyle' in current theme",1422956152934
error,log,,,"palette: Failed to find style 'checkedTextViewStyle' in current theme",1422956152937
error,log,,,"palette: Failed to find style 'checkedTextViewStyle' in current theme",1422956152938
error,log,,,"palette: Failed to find style 'checkedTextViewStyle' in current theme",1422956152938
error,log,,,"palette: Failed to find style 'checkedTextViewStyle' in current theme",1422956152938
error,log,,,"palette: Failed to find style 'checkedTextViewStyle' in current theme",1422956152939
error,log,,,"palette: Failed to find style 'textViewStyle' in current theme",1422956152942
error,log,,,"palette: Failed to find style 'textViewStyle' in current theme",1422956152943
error,log,,,"palette: Failed to find style 'textViewStyle' in current theme",1422956152943
error,log,,,"palette: Failed to find style 'textViewStyle' in current theme",1422956152944
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153501
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153502
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153502
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153502
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153503
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153503
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153503
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153514
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153515
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153515
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153515
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153515
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153516
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153516
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153516
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153517
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153517
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153517
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153517
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153519
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153519
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153519
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153519
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153520
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153520
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153520
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153520
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153521
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153521
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153521
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153521
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153522
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153522
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153523
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153523
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153523
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153524
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153524
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153524
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153524
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153525
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153525
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153525
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153526
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153526
error,log,,,"palette: Failed to find style 'editTextStyle' in current theme",1422956153527
